# Full list of SAKE-identified features marking each of the ALS subtypes in the NYGC ALS Consortium patient cohort.
# From 1-s2.0-S221112471931263X-mmc4.xlsx
gene	feature_score	subtype	prob
ABCA8	0.345134548842666	ALS-Glia	0.705240321270082
ACSL1	0.085144096465324	ALS-Glia	0.539043561356667
ADAM11	0.128421470031122	ALS-TE	0.537658285683394
ADAMTS4	0.322505286120944	ALS-Glia	0.743801636700205
ADAMTS9	0.258951337747605	ALS-TE	0.515998535386831
ADGRA1	0.092272695004607	ALS-TE	0.524715735422954
ADGRB1	0.10755649851897	ALS-TE	0.556165341908793
AGRN	0.091089240405693	ALS-TE	0.538658779237877
AHSA2P	0.087551394885183	ALS-Glia	0.454162681012914
AIF1L	0.134427433438864	ALS-Glia	0.596959615168787
AKAP5	0.151278112743114	ALS-Ox	0.572949691707207
AMER3	0.131787612908955	ALS-TE	0.497956935608038
ANGPTL4	0.256538133178717	ALS-Glia	0.507446785491135
ANKRD18A	0.197483340152165	ALS-Glia	0.647382287071585
ANKRD24	0.132178091618717	ALS-TE	0.581879132937436
ANLN	0.397245847017358	ALS-Glia	0.698800967313079
ANO3	0.158264104065072	ALS-Ox	0.551304039943146
ANP32B	0.101247758618918	ALS-Glia	0.563688911312006
AP1G2	0.529245014020607	ALS-TE	0.802919491286293
APLNR	0.265437750002409	ALS-Glia	0.701255120877581
AQP1	0.434888729499469	ALS-Glia	0.804855788116705
ARHGEF37	0.139992011400249	ALS-Glia	0.603438162277509
ARRDC2	0.154086846283449	ALS-Glia	0.617028369410737
ARRDC4	0.127796516627374	ALS-Glia	0.591753812688115
ASPA	0.414458256880414	ALS-Glia	0.750092996451971
ATP10B	0.20387303060087	ALS-Glia	0.658216098992653
ATP2B3	0.089378516897644	ALS-TE	0.455136742059823
BCAS1	0.137952574254789	ALS-Glia	0.601837394567075
BEGAIN	0.127333164024475	ALS-TE	0.521273387247926
BEX5	0.159150874463181	ALS-Ox	0.597534553120141
BGN	0.148997156630628	ALS-Glia	0.535073545453394
BOK	0.257823425812487	ALS-Glia	0.702123736713552
C10orf90	0.239994126088443	ALS-Glia	0.688181405851968
C11orf87	0.151355135595791	ALS-Ox	0.533268007664058
C1QL3	0.172287404708811	ALS-Ox	0.527600349311532
C1orf115	0.108293559420681	ALS-Ox	0.491243462250265
C21orf91	0.428492875639539	ALS-Glia	0.694247550032147
C3	0.095441064168126	ALS-Glia	0.556917245570267
C4B_2	0.214057257776862	ALS-Glia	0.565143317770708
CA2	0.089705757906257	ALS-Glia	0.524418307772165
CABP1	0.087809883501601	ALS-TE	0.438672077247609
CACNA1A	0.100167660869809	ALS-TE	0.545995913784498
CACNA1B	0.109678573754187	ALS-TE	0.55185466063474
CACNA1G	0.18032939099965	ALS-TE	0.604658877033646
CACNA1I	0.131599952875911	ALS-TE	0.56375825745835
CACNB3	0.130209319806732	ALS-TE	0.500954507487098
CACNG2	0.089350452357224	ALS-TE	0.432328863240384
CACNG3	0.183646399494334	ALS-Ox	0.482349507372636
CACNG8	0.08798897520516	ALS-TE	0.457376994684649
CALB1	0.439112276443827	ALS-Ox	0.702401702616148
CALY	0.127125479047477	ALS-TE	0.470405986883432
CAMK1G	0.148465575658849	ALS-Ox	0.468695365951239
CAMK4	0.087017419398842	ALS-Ox	0.525368487965155
CAPN3	0.219224878832784	ALS-Glia	0.671346747923577
CARNS1	0.235112163193862	ALS-Glia	0.685058310260992
CAVIN1	0.124470216103562	ALS-Glia	0.585565818077493
CBLN2	0.089774921969368	ALS-Ox	0.487624983267065
CBLN4	0.396453729065912	ALS-Ox	0.622032898321094
CBR1	0.088266240422424	ALS-Glia	0.526363913469206
CC2D1A	0.085931023573087	ALS-TE	0.534182897956542
CCDC184	0.166610818379005	ALS-Ox	0.496166852741227
CCK	0.141899746513413	ALS-Ox	0.556195526132593
CD22	0.477618193499757	ALS-Glia	0.742312426781413
CD9	0.218029128546324	ALS-Glia	0.652473076343333
CDC42EP1	0.281705689866933	ALS-Glia	0.718403734736565
CDH19	0.507820676194587	ALS-Glia	0.771207168459454
CDH22	0.141180803709483	ALS-TE	0.501244064772799
CDH9	0.104633904970554	ALS-Ox	0.517967949074234
CDK18	0.114516955913912	ALS-Glia	0.552605864620135
CDK5R2	0.1318337819951	ALS-TE	0.483128678015847
CDKN1A	0.138996127965178	ALS-Glia	0.470129818507914
CDKN1C	0.359351672392294	ALS-Glia	0.742396097953254
CDR2L	0.08478751838905	ALS-Glia	0.542389090723579
CELF3	0.125916836243507	ALS-TE	0.535157497788767
CELF5	0.113695741495127	ALS-TE	0.52413628638998
CELSR3	0.090981400045027	ALS-TE	0.543273443685375
CEMIP	0.098624388980928	ALS-TE	0.51974854637444
CERCAM	0.205464925578312	ALS-Glia	0.574630638013151
CERS2	0.107208591696338	ALS-Glia	0.56863736578186
CFL2	0.122165212826	ALS-Glia	0.498317278903024
CHD5	0.091839919904853	ALS-TE	0.515867347404171
CHGA	0.086119492007971	ALS-TE	0.468098631254212
CHGB	0.105594961729969	ALS-Ox	0.455797085215598
CHI3L1	0.110253934544553	ALS-Glia	0.524278668217898
CHRD	0.133792418505889	ALS-TE	0.57076672060221
CHRM1	0.178532000683518	ALS-TE	0.510978799602119
CHRNB2	0.123503500919718	ALS-TE	0.478486694570531
CHST3	0.183810540992167	ALS-Glia	0.581117627102493
CHST6	0.202843175123294	ALS-Glia	0.655542199308569
CKMT1B	0.145438621095724	ALS-TE	0.529827034615346
CLDN11	0.338952481836969	ALS-Glia	0.720712912231003
CLDND1	0.187768951484169	ALS-Glia	0.592677548805204
CLMN	0.108816472520097	ALS-Glia	0.572009139556516
CLSTN3	0.09546709623881	ALS-TE	0.458469782602354
CNDP1	0.283741348173193	ALS-Glia	0.6323134960559
CNP	0.10790587294004	ALS-Glia	0.56458200244724
CNTN5	0.129344041302424	ALS-Ox	0.545410134147245
COL16A1	0.131578510332465	ALS-TE	0.470680343040135
COL18A1	0.306874060096959	ALS-Glia	0.499733533808419
COL4A2	0.133753537487099	ALS-TE	0.578585623130239
COL5A2	0.114190396670553	ALS-TE	0.449653552543458
COL6A1	0.117972720478523	ALS-TE	0.579204578427552
COL9A2	0.151522342796042	ALS-Glia	0.604986597979943
COL9A3	0.123622581245988	ALS-Glia	0.579213764214792
COLEC12	0.100671939848172	ALS-Glia	0.463396651673376
