# GSEA gene sets with FDR < 0.05 in ALS-Ox subtype
GSEA_category	source	details	NES	FDR_qval	FWER_pval
HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB Hallmark gene sets		3.2223635	0	0
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG pathways		3.0635443	0	0
KEGG_PARKINSONS_DISEASE	KEGG pathways		2.9689674	0	0
HALLMARK_MYC_TARGETS_V1	MSigDB Hallmark gene sets		2.9293635	0	0
KEGG_ALZHEIMERS_DISEASE	KEGG pathways		2.7446258	0	0
KEGG_HUNTINGTONS_DISEASE	KEGG pathways		2.7075808	0	0
HALLMARK_PROTEIN_SECRETION	MSigDB Hallmark gene sets		2.630135	0	0
KEGG_PROTEASOME	KEGG pathways		2.5198066	0	0
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG pathways		2.5083485	0	0
HALLMARK_MTORC1_SIGNALING	MSigDB Hallmark gene sets		2.4255283	0	0
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG pathways		2.377187	0	0
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG pathways		2.283251	0	0
KEGG_PROTEIN_EXPORT	KEGG pathways		2.2376406	0	0
KEGG_LONG_TERM_POTENTIATION	KEGG pathways		2.184511	0	0
SOD1MUT_DAM_DOWN	Chiu et al. Cell Reports 2013	Top 200genes downregulated in SOD1 mutant microglia	2.1755729	0	0
KEGG_OOCYTE_MEIOSIS	KEGG pathways		2.1382368	0	0
HALLMARK_ANDROGEN_RESPONSE	MSigDB Hallmark gene sets		2.0377092	0	0
KEGG_SPLICEOSOME	KEGG pathways		2.0198133	5.16E-04	0.004
HALLMARK_SPERMATOGENESIS	MSigDB Hallmark gene sets		1.9854261	0	0
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG pathways		1.9719579	0.0018122194	0.015
KEGG_RNA_DEGRADATION	KEGG pathways		1.9553171	0.0023377729	0.021
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG pathways		1.9144663	0.0031959345	0.031
HALLMARK_PANCREAS_BETA_CELLS	MSigDB Hallmark gene sets		1.8786184	4.26E-04	0.002
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG pathways		1.8552837	0.0058571966	0.058
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	MSigDB Hallmark gene sets		1.8395627	6.22E-04	0.003
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG pathways		1.8239108	0.007301956	0.075
HALLMARK_E2F_TARGETS	MSigDB Hallmark gene sets		1.8116912	7.25E-04	0.004
KEGG_BUTANOATE_METABOLISM	KEGG pathways		1.7895515	0.010069156	0.108
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG pathways		1.7848643	0.010304128	0.117
HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB Hallmark gene sets		1.7748102	0.001871973	0.013
HALLMARK_UV_RESPONSE_DN	MSigDB Hallmark gene sets		1.7696385	0.0017017936	0.013
HALLMARK_FATTY_ACID_METABOLISM	MSigDB Hallmark gene sets		1.7654316	0.0015599775	0.013
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG pathways		1.7510448	0.013530918	0.158
KEGG_REGULATION_OF_AUTOPHAGY	KEGG pathways		1.7506768	0.013125359	0.161
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG pathways		1.742244	0.014092489	0.181
HALLMARK_ADIPOGENESIS	MSigDB Hallmark gene sets		1.7368766	0.0019746113	0.018
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG pathways		1.7264612	0.016488211	0.217
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG pathways		1.7135854	0.017718354	0.24
KEGG_RIBOSOME	KEGG pathways		1.7014682	0.019165654	0.265
KEGG_PYRUVATE_METABOLISM	KEGG pathways		1.6954422	0.019902142	0.284
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	MSigDB Hallmark gene sets		1.6897346	0.0026226048	0.025
KEGG_MTOR_SIGNALING_PATHWAY	KEGG pathways		1.6805673	0.022572698	0.325
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG pathways		1.6793644	0.022118842	0.328
HALLMARK_G2M_CHECKPOINT	MSigDB Hallmark gene sets		1.667295	0.0029639206	0.03
KEGG_LONG_TERM_DEPRESSION	KEGG pathways		1.664599	0.023995819	0.358
KEGG_PURINE_METABOLISM	KEGG pathways		1.654153	0.02557407	0.388
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG pathways		1.6421108	0.027770832	0.428
KEGG_WNT_SIGNALING_PATHWAY	KEGG pathways		1.6346173	0.028681803	0.447
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG pathways		1.6295823	0.029128762	0.464
KEGG_COLORECTAL_CANCER	KEGG pathways		1.6049565	0.035275403	0.542
KEGG_CELL_CYCLE	KEGG pathways		1.5977428	0.03633078	0.564
KEGG_MELANOMA	KEGG pathways		1.5974996	0.0354942	0.564
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG pathways		1.5875784	0.03793585	0.594
HALLMARK_DNA_REPAIR	MSigDB Hallmark gene sets		1.5753592	0.0077420087	0.08
KEGG_GAP_JUNCTION	KEGG pathways		1.5683169	0.043788403	0.664
HALLMARK_UV_RESPONSE_UP	MSigDB Hallmark gene sets		1.5354599	0.009890146	0.106
HALLMARK_KRAS_SIGNALING_UP	MSigDB Hallmark gene sets		1.517712	0.01067586	0.122
TREM2_DAM_UP	Keren-Schaul et al. Cell 2017	Top 200 genes upregulated in TREM2 disease-associated microglia (vs microglia from controls)	1.506685	0.0010952902	0.002
HALLMARK_HEME_METABOLISM	MSigDB Hallmark gene sets		1.4249142	0.025884718	0.284
HALLMARK_GLYCOLYSIS	MSigDB Hallmark gene sets		1.3844708	0.036053143	0.396
HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB Hallmark gene sets		-1.4511051	0.040410105	0.241
HALLMARK_IL6_JAK_STAT3_SIGNALING	MSigDB Hallmark gene sets		-1.5059551	0.03138588	0.15
HALLMARK_WNT_BETA_CATENIN_SIGNALING	MSigDB Hallmark gene sets		-1.667739	0.0075640487	0.025
HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB Hallmark gene sets		-1.8431983	0.0017517243	0.003
KEGG_NOTCH_SIGNALING_PATHWAY	KEGG pathways		-2.0662072	0.001381052	0.003
ALL_HG19_SINES	RepeatMasker	All annotated SINE from hg19 RepeatMasker annotations	-2.7296493	0	0
ALL_LINE_TES	RepeatMasker	All annotated LINE from hg19 RepeatMasker annotations	-2.8449376	0	0
ACTIVE_TE	Mills et al. Trends in Genetics 2007	Active transposable elements in the human genome	-2.9842951	0	0
ALL_HG19_TES	RepeatMasker	All annotated transposable elements from hg19 RepeatMasker annotations	-3.3497162	0	0
ALL_LTR_TES	RepeatMasker	All annotated LTR elements from hg19 RepeatMasker annotations	-3.3769548	0	0
