# GSEA gene sets with FDR < 0.05 in ALS-Glia subtype
GSEA_category	source	details	NES	FDR_qval	FWER_pval
HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB Hallmark gene sets		2.5458295	0	0
HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB Hallmark gene sets		2.444514	0	0
KEGG_RIBOSOME	KEGG pathways		2.272807	0	0
HALLMARK_IL6_JAK_STAT3_SIGNALING	MSigDB Hallmark gene sets		2.1806695	0	0
KEGG_ALLOGRAFT_REJECTION	KEGG pathways		2.1472545	0	0
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG pathways		2.113565	0	0
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG pathways		2.0568323	7.19E-04	0.003
ALL_LINE_TES	RepeatMasker	All annotated LINE from hg19 RepeatMasker annotations	1.9846716	0.0019999999	0.001
HALLMARK_INFLAMMATORY_RESPONSE	MSigDB Hallmark gene sets		1.9750203	0	0
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG pathways		1.9329916	0.0036983383	0.019
KEGG_LEISHMANIA_INFECTION	KEGG pathways		1.9293759	0.0030819485	0.019
KEGG_VIRAL_MYOCARDITIS	KEGG pathways		1.8560263	0.0073273336	0.051
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSigDB Hallmark gene sets		1.8492787	2.21E-04	0.001
KEGG_ASTHMA	KEGG pathways		1.830491	0.008641886	0.069
ALL_HG19_TES	RepeatMasker	All annotated transposable elements from hg19 RepeatMasker annotations	1.8154895	0.003926407	0.005
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG pathways		1.8098259	0.010864449	0.098
SOD1MUT_DAM_UP	Chiu et al. Cell Reports 2013	Top 200genes upregulated in SOD1 mutant microglia	1.7340131	0	0
ACTIVE_TE	Mills et al. Trends in Genetics 2007	Active transposable elements in the human genome	1.7206918	0.0117051955	0.023
ALL_LTR_TES	RepeatMasker	All annotated LTR elements from hg19 RepeatMasker annotations	1.6984936	0.008859482	0.03
ALL_HG19_SINES	RepeatMasker	All annotated SINE from hg19 RepeatMasker annotations	1.6909177	0.007382901	0.03
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG pathways		1.6829778	0.034882188	0.303
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB Hallmark gene sets		1.668911	0.0056597563	0.027
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG pathways		1.6640562	0.038520955	0.359
KEGG_NOTCH_SIGNALING_PATHWAY	KEGG pathways		1.6473473	0.04237989	0.413
HALLMARK_APOPTOSIS	MSigDB Hallmark gene sets		1.6420676	0.006009746	0.034
HALLMARK_ALLOGRAFT_REJECTION	MSigDB Hallmark gene sets		1.6410189	0.0052585276	0.034
HALLMARK_P53_PATHWAY	MSigDB Hallmark gene sets		1.6333293	0.005157262	0.038
HALLMARK_IL2_STAT5_SIGNALING	MSigDB Hallmark gene sets		1.5689715	0.008976112	0.07
HALLMARK_COAGULATION	MSigDB Hallmark gene sets		1.5363632	0.010601604	0.09
HALLMARK_TGF_BETA_SIGNALING	MSigDB Hallmark gene sets		1.5034432	0.01302793	0.117
HALLMARK_BILE_ACID_METABOLISM	MSigDB Hallmark gene sets		1.4551829	0.021170309	0.207
HALLMARK_COMPLEMENT	MSigDB Hallmark gene sets		1.4399217	0.024317393	0.249
HALLMARK_MITOTIC_SPINDLE	MSigDB Hallmark gene sets		1.393587	0.03582461	0.371
HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB Hallmark gene sets		1.3794142	0.039280176	0.414
TREM2_DAM_UP	Keren-Schaul et al. Cell 2017	Top 200 genes upregulated in TREM2 disease-associated microglia (vs microglia from controls)	1.2758235	0.04400107	0.063
TREM2_DAM_DOWN	Keren-Schaul et al. Cell 2017	Top 200 genes downregulated in TREM2 disease-associated microglia (vs microglia from controls)	-1.4568788	0.005765766	0.008
HALLMARK_KRAS_SIGNALING_DN	MSigDB Hallmark gene sets		-1.4705544	0.03650783	0.212
HALLMARK_UV_RESPONSE_DN	MSigDB Hallmark gene sets		-1.5090883	0.027735503	0.131
KEGG_WNT_SIGNALING_PATHWAY	KEGG pathways		-1.5876875	0.033249784	0.572
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG pathways		-1.605137	0.029550748	0.516
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG pathways		-1.6135123	0.028839594	0.494
KEGG_AXON_GUIDANCE	KEGG pathways		-1.6139821	0.029908143	0.492
