# GSEA gene sets with FDR < 0.05 in ALS-TE subtype
GSEA_category	source	details	NES	FDR_qval	FWER_pval
ALL_LTR_TES	RepeatMasker	All annotated LTR elements from hg19 RepeatMasker annotations	3.345766	0	0
ALL_HG19_TES	RepeatMasker	All annotated transposable elements from hg19 RepeatMasker annotations	3.3431423	0	0
ACTIVE_TE	Mills et al. Trends in Genetics 2007	Active transposable elements in the human genome	3.005393	0	0
ALL_LINE_TES	RepeatMasker	All annotated LINE from hg19 RepeatMasker annotations	2.9213014	0	0
ALL_HG19_SINES	RepeatMasker	All annotated SINE from hg19 RepeatMasker annotations	2.781564	0	0
KEGG_ECM_RECEPTOR_INTERACTION	KEGG pathways		1.7430323	0.049100615	0.196
HALLMARK_KRAS_SIGNALING_DN	KEGG pathways		1.5599189	0.03376469	0.102
TREM2_DAM_DOWN	Keren-Schaul et al. Cell 2017	Top 200 genes downregulated in TREM2 disease-associated microglia (vs microglia from controls)	1.3752391	0.010144198	0.031
HALLMARK_XENOBIOTIC_METABOLISM	MSigDB Hallmark gene sets		-1.310186	0.04178653	0.471
HALLMARK_GLYCOLYSIS	MSigDB Hallmark gene sets		-1.3960048	0.021034908	0.273
HALLMARK_MITOTIC_SPINDLE	MSigDB Hallmark gene sets		-1.4010913	0.0207373	0.265
HALLMARK_IL2_STAT5_SIGNALING	MSigDB Hallmark gene sets		-1.4271162	0.016887251	0.217
HALLMARK_UV_RESPONSE_UP	MSigDB Hallmark gene sets		-1.4288815	0.017205426	0.215
HALLMARK_SPERMATOGENESIS	MSigDB Hallmark gene sets		-1.4413527	0.016457332	0.2
HALLMARK_UV_RESPONSE_DN	MSigDB Hallmark gene sets		-1.4699906	0.012699244	0.152
HALLMARK_TGF_BETA_SIGNALING	MSigDB Hallmark gene sets		-1.5163126	0.0075470214	0.093
KEGG_PROSTATE_CANCER	KEGG pathways		-1.5223879	0.049080987	0.737
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG pathways		-1.5251249	0.049141616	0.73
HALLMARK_P53_PATHWAY	MSigDB Hallmark gene sets		-1.526984	0.006780305	0.081
KEGG_BUTANOATE_METABOLISM	KEGG pathways		-1.534471	0.046839766	0.703
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	MSigDB Hallmark gene sets		-1.5388267	0.006410683	0.074
HALLMARK_PANCREAS_BETA_CELLS	MSigDB Hallmark gene sets		-1.5458527	0.0059683407	0.067
KEGG_RIBOFLAVIN_METABOLISM	KEGG pathways		-1.5470207	0.043191757	0.671
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG pathways		-1.5544902	0.04160262	0.646
KEGG_FATTY_ACID_METABOLISM	KEGG pathways		-1.5569128	0.041973703	0.641
KEGG_REGULATION_OF_AUTOPHAGY	KEGG pathways		-1.5584065	0.04242883	0.636
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG pathways		-1.5596664	0.04300879	0.634
HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB Hallmark gene sets		-1.5633322	0.0055505293	0.06
KEGG_VIRAL_MYOCARDITIS	KEGG pathways		-1.5798998	0.037913192	0.582
KEGG_RENAL_CELL_CARCINOMA	KEGG pathways		-1.5862846	0.036751874	0.57
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG pathways		-1.5962524	0.03442832	0.54
HALLMARK_DNA_REPAIR	MSigDB Hallmark gene sets		-1.6107516	0.0035902194	0.037
HALLMARK_PEROXISOME	MSigDB Hallmark gene sets		-1.6132964	0.0034923384	0.035
KEGG_DNA_REPLICATION	KEGG pathways		-1.6225827	0.028128617	0.467
KEGG_LIMONENE_AND_PINENE_DEGRADATION	KEGG pathways		-1.6242762	0.02813062	0.457
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG pathways		-1.6264563	0.028307632	0.455
KEGG_LEISHMANIA_INFECTION	KEGG pathways		-1.6292163	0.028557288	0.448
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG pathways		-1.643257	0.025150744	0.406
KEGG_COLORECTAL_CANCER	KEGG pathways		-1.6539092	0.02381396	0.374
