sample	Lineage1
SS2_16_290_F5	129.58407645385012
SS2_16_290_J3	126.65209640158876
SS2_16_290_J5	133.039092147931
SS2_16_290_J7	144.09529302589073
SS2_16_290_K6	125.38664806727607
SS2_16_290_M2	127.49073420760092
SS2_16_290_N2	141.3763214217755
SS2_16_290_O8	146.50925862666298
SS2_16_291_A2	127.43617511416264
SS2_16_291_D14	144.70654148404495
SS2_16_291_H6	123.28432098693987
SS2_16_291_K11	123.28432098693987
SS2_16_294_J8	159.6142445701144
SS2_16_295_A2	135.62433161075887
SS2_16_295_A4	147.7920789650351
SS2_16_295_A5	142.82445215901564
SS2_16_295_C1	130.72065760576774
SS2_16_295_C7	119.647603825891
SS2_16_295_D6	133.28676208322966
SS2_16_295_F4	135.20932671800753
SS2_16_295_F7	125.09888193845528
SS2_16_295_H2	120.84081786317049
SS2_16_295_H4	120.18101934392722
SS2_16_295_I2	149.55345423023408
SS2_16_295_I5	126.24021575017316
SS2_16_295_I6	131.47519466969382
SS2_16_295_K1	132.0881834550154
SS2_16_295_K3	125.11674207300267
SS2_16_295_K8	124.3892769397447
SS2_16_295_M1	127.31992332933562
SS2_16_295_M6	138.8661293994123
SS2_16_295_N3	120.18101934392722
SS2_16_295_N4	134.92298190755173
SS2_16_295_O4	138.8661293994123
SS2_16_295_O8	148.05444005960769
SS2_16_295_P1	133.55433430742346
SS2_16_290_M4	86.03140049204617
SS2_16_290_O7	86.71555270397499
SS2_16_291_G22	86.71555270397499
SS2_16_292_B6	0
SS2_16_292_F7	56.15462881248121
SS2_16_292_G5	8.569508502956667
SS2_16_292_G6	74.67750610073935
SS2_16_292_G8	0
SS2_16_292_J3	75.56487140625192
SS2_16_292_K7	0
SS2_16_292_L6	0
SS2_16_292_P5	74.34919712965275
SS2_16_293_E1	18.922664651672566
SS2_16_293_E6	26.00996318642126
SS2_16_293_L24	40.61825558740055
SS2_16_294_A3	20.83544786524696
SS2_16_294_B1	0
SS2_16_294_B4	0
SS2_16_294_B7	0
SS2_16_294_C7	36.13440140533349
SS2_16_294_D5	40.61825558740055
SS2_16_294_D7	13.197116495569396
SS2_16_294_D8	25.799664288573595
SS2_16_294_F3	29.548216288498278
SS2_16_294_F7	45.519849754275256
SS2_16_294_G7	32.18871775155925
SS2_16_294_H1	37.914979157654
SS2_16_294_I2	33.37621255559054
SS2_16_294_I4	0
SS2_16_294_J2	36.150597415770825
SS2_16_294_K5	27.369955132633798
SS2_16_294_L4	68.66716256133907
SS2_16_294_M7	0
SS2_16_294_N4	47.99684757405795
SS2_16_294_O5	37.914979157654
SS2_16_294_O8	57.542795371206374
SS2_16_295_M7	74.34919712965275
SS2_16_293_D18	169.30215152196817
SS2_16_293_D2	180.0502186486947
SS2_16_293_D9	181.7635642340034
SS2_16_293_G12	178.09564517111724
SS2_16_293_G5	181.7635642340034
SS2_16_293_H7	181.7635642340034
SS2_16_293_L7	181.7635642340034
SS2_16_293_N11	160.5182636624071
SS2_16_293_P12	174.00814397472686
SS2_16_293_P21	164.02698210208962
SS2_16_293_P8	174.05625412172805
SS2_16_294_A2	178.59862824822753
SS2_16_294_F8	155.7875734355775
SS2_16_294_G2	169.46401289529413
SS2_16_294_N2	152.69670112221507
